NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS
HERITAGE HALL NORTH NURSING HOME,55 COOPER ST,AGAWAM,MA,01001,2149,25013,HAMPDEN,1122,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,120,,,
AGAWAM COUNCIL ON AGING SENIOR CENTER,68 MEADOWBROOK MNR,AGAWAM,MA,01001,3126,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
CENTER FOR EXTENDED CARE-AMHERST,150 UNIVERSITY DR,AMHERST,MA,01002,2232,25015,HAMPSHIRE,8000,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125,,,
HAMPSHIRE COLLEGE,893 WEST ST,AMHERST,MA,01002,3372,25015,HAMPSHIRE,8000,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,,,,
UNIVERSITY OF MASSACHUSETTS,168 WHITMORE,AMHERST,MA,01003,,25015,HAMPSHIRE,,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,SELF-OPERATED,PUBLIC,>2000,,,,
CENTER FOR LANG-SPEECH-HEAR-UNIV OF MA,715 N PLEASANT ST,AMHERST,MA,01003,9304,25015,HAMPSHIRE,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
QUABBIN REGIONAL SCHOOL DISTRICT,872 SOUTH ST,BARRE,MA,01005,8906,25027,WORCESTER,1122,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,
BELCHERTOWN PUBLIC SCHOOLS,PO BOX 841,BELCHERTOWN,MA,01007,0841,25015,HAMPSHIRE,8000,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,
BELCHERTOWN SENIOR CENTER,60 STATE ST,BELCHERTOWN,MA,01007,9494,25015,HAMPSHIRE,8000,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
BRIMFIELD COUNCIL ON AGING SENIOR CENTER,PO BOX 172,BRIMFIELD,MA,01010,0172,25013,HAMPDEN,1122,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,
