NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,market_segment2,units,EMPLOYEES,years_in_business,annual_sales
AZON LIQUORS,AGAWAM,MA,01001,1530,25013,HAMPDEN,1122,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
CUSTOM WINE ONLINE LLC,COVINGTON,KY,41011,2487,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$2,500,001 - $5,000,000"
BP,COVINGTON,KY,41011,1441,21117,KENTON,1642,GAS STATIONS,501+ UNITS,5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
DICK'S WINES & LIQUORS,COVINGTON,KY,41011,1528,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
END OF LINE BEVERAGE,FT WRIGHT,KY,41011,2602,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
EUROPA FOODS,COVINGTON,KY,41011,5004,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
FAMILY GROCERY,COVINGTON,KY,41011,2067,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
GREENUP MARKET,COVINGTON,KY,41011,3287,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
HERINGER MEATS INC,COVINGTON,KY,41011,2302,21117,KENTON,1642,MEAT MARKET,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
HILL TOP MARKET,COVINGTON,KY,41011,3910,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
I-75 PACKAGED LIQUORS,COVINGTON,KY,41011,1007,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),20 TO 49,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
JOHNNY'S FOOD MART,COVINGTON,KY,41011,1252,21117,KENTON,1642,CONVENIENCE STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
JONES GROCERY,COVINGTON,KY,41011,3456,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,"$500,001 - $1,000,000"
KROGER,COVINGTON,KY,41011,3315,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),501+ UNITS,OVER 50,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
LIQUOR DIRECT,COVINGTON,KY,41011,1204,21117,KENTON,1642,LIQUOR STORES,INDEPENDENT (1-9 UNITS),10 TO 19,UNCODED / DATA CURRENTLY UNAVAILABLE,"$1,000,001 - $2,500,000"
LOSCHIAVO'S PRODUCE-DELI,PARK HILLS,KY,41011,2852,21117,KENTON,1642,FRUIT AND VEGETABLE MARKETS,INDEPENDENT (1-9 UNITS),5 TO 9,UNCODED / DATA CURRENTLY UNAVAILABLE,"<=$500,000"
MAIN STREET MARKET,COVINGTON,KY,41011,1496,21117,KENTON,1642,GROCERY STORES (LIMITED CHANNEL DISTRIBUTOR),INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,">$5,000,000"
WINE SELLER LLC,VERNON ROCKVILLE,CT,06066,4551,09013,TOLLAND,3280,LIQUOR STORES,INDEPENDENT (1-9 UNITS),1 TO 4,UNCODED / DATA CURRENTLY UNAVAILABLE,UNCODED
